Pais,Valor_2024,Valor_2026,Crescimento_Percentual
Alemanha,5846872269,6420494219.0,9.81074878343644
Argentina,13777621257,22092261248.0,60.34887906920492
Canadá,6317347097,7054381568.0,11.666835139547818
Chile,6657592071,7628383501.0,14.581719931875952
China,94371734715,99198392900.0,5.114516756077838
Espanha,9969843825,11991394046.0,20.276648827044188
Estados Unidos,40368543679,48598161804.0,20.386215045159297
Japão,5577774385,7261825591.0,30.19217146051704
México,7802031715,10689185276.0,37.005150279628154
Países Baixos (Holanda),11720073525,16086112242.0,37.25265637358704
